"","track_popularity","track_album_release_date","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_age"
"1",66,2019-06-14,"pop","dance pop",0.748,0.916,"6",-2.634,"1",0.0583,0.102,0,0.0653,0.518,122.036,194754,229
"2",67,2019-12-13,"pop","dance pop",0.726,0.815,"11",-4.969,"1",0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,47
"3",70,2019-07-05,"pop","dance pop",0.675,0.931,"1",-3.432,"0",0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616,208
"4",60,2019-07-19,"pop","dance pop",0.718,0.93,"7",-3.778,"1",0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093,194
"5",69,2019-03-05,"pop","dance pop",0.65,0.833,"1",-4.672,"1",0.0359,0.0803,0,0.0833,0.725,123.976,189052,330
"6",67,2019-07-11,"pop","dance pop",0.675,0.919,"8",-5.385,"1",0.127,0.0799,0,0.143,0.585,124.982,163049,202
"7",62,2019-07-26,"pop","dance pop",0.449,0.856,"5",-4.788,"0",0.0623,0.187,0,0.176,0.152,112.648,187675,187
"8",69,2019-08-29,"pop","dance pop",0.542,0.903,"4",-2.419,"0",0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,153
"9",68,2019-06-14,"pop","dance pop",0.594,0.935,"8",-3.562,"1",0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187,229
"10",67,2019-06-20,"pop","dance pop",0.642,0.818,"2",-4.552,"1",0.032,0.0567,0,0.0919,0.59,124.957,253040,223
"11",58,2019-06-21,"pop","dance pop",0.679,0.923,"6",-6.5,"1",0.181,0.146,4.92e-06,0.124,0.752,121.984,207894,222
"12",67,2019-08-16,"pop","dance pop",0.437,0.774,"8",-4.918,"1",0.0554,0.148,0,0.133,0.329,123.125,203733,166
"13",67,2019-03-29,"pop","dance pop",0.744,0.726,"1",-4.675,"1",0.0463,0.0399,0,0.374,0.687,121.985,192507,306
"14",68,2019-05-17,"pop","dance pop",0.572,0.915,"5",-4.451,"0",0.0625,0.0111,0,0.339,0.678,123.919,164516,257
"15",63,2019-07-12,"pop","dance pop",0.69,0.78,"5",-4.446,"0",0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238,201
"16",66,2019-12-11,"pop","dance pop",0.805,0.835,"0",-4.603,"1",0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230,49
"17",60,2019-05-03,"pop","dance pop",0.694,0.901,"1",-4.322,"0",0.0948,0.0702,0,0.427,0.368,118.051,173548,271
"18",65,2018-12-28,"pop","dance pop",0.678,0.747,"10",-5.289,"0",0.165,0.0395,0,0.174,0.516,120.002,189375,397
"19",69,2019-03-08,"pop","dance pop",0.746,0.557,"1",-6.722,"1",0.0542,0.103,0.0036,0.138,0.324,111.961,159404,327
"20",35,2019-10-18,"pop","dance pop",0.467,0.821,"7",-5.466,"1",0.0934,0.00791,0.000441,0.131,0.232,122.676,185366,103
"21",70,2019-08-23,"pop","dance pop",0.572,0.934,"6",-5.053,"0",0.0446,0.00292,0.0198,0.105,0.204,125.948,215238,159
"22",64,2019-08-23,"pop","dance pop",0.708,0.913,"9",-4.329,"0",0.0348,0.089,0.081,0.113,0.707,135.016,170667,159
"23",62,2019-05-08,"pop","dance pop",0.684,0.818,"4",-4.477,"0",0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968,266
"24",70,2019-10-25,"pop","dance pop",0.732,0.85,"1",-5.999,"1",0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548,96
"25",58,2019-05-24,"pop","dance pop",0.62,0.889,"11",-3.785,"1",0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093,250
